"model","chunk_words","overlap_words","k","split","embedding_dimension","model_context_tokens","index_chunks","document_embedding_seconds","query_embedding_seconds","retrieval_ms_per_question","questions","recall_at_k","recall_ci_low","recall_ci_high","page_recall_at_k","mrr_at_k","context_truncation_risk"
"all-minilm","200","100","10","development","384","512","570","14.860091","0.440551","0.009421","35","0.8857142857142857","0.7404820521187976","0.9546489414551025","0.9714285714285714","0.6624149659863945","False"
"all-minilm","400","0","1","development","384","512","143","6.149546","0.440551","0.002901","35","0.4857142857142857","0.32993980391252736","0.6443146037328837","0.5428571428571428","0.4857142857142857","True"
"all-minilm","400","0","3","development","384","512","143","6.149546","0.440551","0.002901","35","0.6857142857142857","0.5201992812074803","0.8144934194021753","0.8","0.5619047619047619","True"
"all-minilm","400","0","5","development","384","512","143","6.149546","0.440551","0.002901","35","0.7714285714285715","0.6098236221989801","0.879342632538209","0.8857142857142857","0.5819047619047619","True"
"all-minilm","400","0","10","development","384","512","143","6.149546","0.440551","0.002901","35","0.8571428571428571","0.7062411969132573","0.9373986119514649","0.9714285714285714","0.5920181405895691","True"
"all-minilm","400","50","1","development","384","512","163","6.936253","0.440551","0.00334","35","0.5142857142857142","0.35568539626711626","0.6700601960874726","0.6","0.5142857142857142","True"
"all-minilm","400","50","3","development","384","512","163","6.936253","0.440551","0.00334","35","0.7428571428571429","0.5793037572935127","0.8583713127344985","0.8571428571428571","0.6142857142857142","True"
"all-minilm","400","50","5","development","384","512","163","6.936253","0.440551","0.00334","35","0.8571428571428571","0.7062411969132573","0.9373986119514649","0.9142857142857143","0.6428571428571428","True"
"all-minilm","400","50","10","development","384","512","163","6.936253","0.440551","0.00334","35","0.9428571428571428","0.8139261926062996","0.984187170385956","0.9714285714285714","0.65297052154195","True"
"all-minilm","400","100","1","development","384","512","190","8.233976","0.440551","0.003033","35","0.5142857142857142","0.35568539626711626","0.6700601960874726","0.6","0.5142857142857142","True"
"all-minilm","400","100","3","development","384","512","190","8.233976","0.440551","0.003033","35","0.6857142857142857","0.5201992812074803","0.8144934194021753","0.8","0.5857142857142857","True"
"all-minilm","400","100","5","development","384","512","190","8.233976","0.440551","0.003033","35","0.7714285714285715","0.6098236221989801","0.879342632538209","0.8857142857142857","0.6057142857142858","True"
"all-minilm","400","100","10","development","384","512","190","8.233976","0.440551","0.003033","35","0.8857142857142857","0.7404820521187976","0.9546489414551025","0.9714285714285714","0.6228571428571429","True"
"all-minilm","800","0","1","development","384","512","72","3.085697","0.440551","0.00377","35","0.37142857142857144","0.23165607368891059","0.5366335951197893","0.45714285714285713","0.37142857142857144","True"
